Pixel,Intensity
0,1.845214e-01
1,2.276986e-01
2,2.268839e-01
3,2.256619e-01
4,2.268839e-01
5,2.244399e-01
6,2.252546e-01
7,2.260692e-01
8,2.264766e-01
9,2.264766e-01
10,2.268839e-01
11,2.260692e-01
12,2.268839e-01
13,2.228106e-01
14,2.285132e-01
15,2.236253e-01
16,2.272912e-01
17,2.244399e-01
18,2.276986e-01
19,2.256619e-01
20,2.268839e-01
21,2.244399e-01
22,2.276986e-01
23,2.252546e-01
24,2.293279e-01
25,2.240326e-01
26,2.268839e-01
27,2.248473e-01
28,2.293279e-01
29,2.260692e-01
30,2.272912e-01
31,2.256619e-01
32,2.264766e-01
33,2.236253e-01
34,2.252546e-01
35,2.276986e-01
36,2.289206e-01
37,2.256619e-01
38,2.276986e-01
39,2.248473e-01
40,2.264766e-01
41,2.260692e-01
42,2.260692e-01
43,2.268839e-01
44,2.276986e-01
45,2.244399e-01
46,2.276986e-01
47,2.260692e-01
48,2.276986e-01
49,2.268839e-01
50,2.276986e-01
51,2.268839e-01
52,2.268839e-01
53,2.252546e-01
54,2.276986e-01
55,2.264766e-01
56,2.268839e-01
57,2.244399e-01
58,2.268839e-01
59,2.252546e-01
60,2.272912e-01
61,2.252546e-01
62,2.272912e-01
63,2.256619e-01
64,2.293279e-01
65,2.289206e-01
66,2.276986e-01
67,2.244399e-01
68,2.260692e-01
69,2.260692e-01
70,2.289206e-01
71,2.260692e-01
72,2.276986e-01
73,2.268839e-01
74,2.276986e-01
75,2.260692e-01
76,2.268839e-01
77,2.264766e-01
78,2.276986e-01
79,2.244399e-01
80,2.276986e-01
81,2.268839e-01
82,2.285132e-01
83,2.272912e-01
84,2.285132e-01
85,2.260692e-01
86,2.285132e-01
87,2.252546e-01
88,2.285132e-01
89,2.276986e-01
90,2.264766e-01
91,2.256619e-01
92,2.276986e-01
93,2.252546e-01
94,2.276986e-01
95,2.244399e-01
96,2.276986e-01
97,2.248473e-01
98,2.272912e-01
99,2.268839e-01
100,2.293279e-01
101,2.264766e-01
102,2.268839e-01
103,2.276986e-01
104,2.285132e-01
105,2.252546e-01
106,2.260692e-01
107,2.260692e-01
108,2.301426e-01
109,2.276986e-01
110,2.256619e-01
111,2.264766e-01
112,2.301426e-01
113,2.240326e-01
114,2.285132e-01
115,2.268839e-01
116,2.293279e-01
117,2.244399e-01
118,2.293279e-01
119,2.268839e-01
120,2.301426e-01
121,2.244399e-01
122,2.285132e-01
123,2.260692e-01
124,2.301426e-01
125,2.248473e-01
126,2.268839e-01
127,2.268839e-01
128,2.276986e-01
129,2.276986e-01
130,2.301426e-01
131,2.285132e-01
132,2.293279e-01
133,2.256619e-01
134,2.276986e-01
135,2.285132e-01
136,2.285132e-01
137,2.264766e-01
138,2.293279e-01
139,2.297352e-01
140,2.276986e-01
141,2.272912e-01
142,2.297352e-01
143,2.276986e-01
144,2.268839e-01
145,2.276986e-01
146,2.301426e-01
147,2.268839e-01
148,2.276986e-01
149,2.276986e-01
150,2.297352e-01
151,2.260692e-01
152,2.289206e-01
153,2.252546e-01
154,2.289206e-01
155,2.264766e-01
156,2.297352e-01
157,2.256619e-01
158,2.272912e-01
159,2.264766e-01
160,2.309572e-01
161,2.260692e-01
162,2.268839e-01
163,2.260692e-01
164,2.276986e-01
165,2.256619e-01
166,2.276986e-01
167,2.268839e-01
168,2.276986e-01
169,2.256619e-01
170,2.260692e-01
171,2.268839e-01
172,2.293279e-01
173,2.252546e-01
174,2.260692e-01
175,2.260692e-01
176,2.264766e-01
177,2.272912e-01
178,2.285132e-01
179,2.260692e-01
180,2.293279e-01
181,2.256619e-01
182,2.268839e-01
183,2.260692e-01
184,2.285132e-01
185,2.260692e-01
186,2.260692e-01
187,2.256619e-01
188,2.252546e-01
189,2.244399e-01
190,2.260692e-01
191,2.268839e-01
192,2.272912e-01
193,2.244399e-01
194,2.252546e-01
195,2.244399e-01
196,2.268839e-01
197,2.219959e-01
198,2.256619e-01
199,2.228106e-01
200,2.276986e-01
201,2.219959e-01
202,2.260692e-01
203,2.252546e-01
204,2.252546e-01
205,2.256619e-01
206,2.240326e-01
207,2.215886e-01
208,2.268839e-01
209,2.236253e-01
210,2.276986e-01
211,2.260692e-01
212,2.285132e-01
213,2.252546e-01
214,2.276986e-01
215,2.268839e-01
216,2.297352e-01
217,2.260692e-01
218,2.252546e-01
219,2.244399e-01
220,2.289206e-01
221,2.256619e-01
222,2.268839e-01
223,2.256619e-01
224,2.268839e-01
225,2.268839e-01
226,2.252546e-01
227,2.256619e-01
228,2.268839e-01
229,2.244399e-01
230,2.240326e-01
231,2.228106e-01
