Pixel,Intensity
0,9.872561e-01
1,9.820789e-01
2,9.904421e-01
3,9.864596e-01
4,9.928315e-01
5,9.892473e-01
6,9.936280e-01
7,9.900438e-01
8,9.948228e-01
9,9.912386e-01
10,9.960175e-01
11,9.912386e-01
12,9.956193e-01
13,9.924333e-01
14,9.964158e-01
15,9.932298e-01
16,9.972123e-01
17,9.936280e-01
18,9.968140e-01
19,9.924333e-01
20,9.972123e-01
21,9.940263e-01
22,9.976105e-01
23,9.940263e-01
24,9.976105e-01
25,9.944245e-01
26,9.984070e-01
27,9.948228e-01
28,9.984070e-01
29,9.944245e-01
30,9.984070e-01
31,9.948228e-01
32,9.984070e-01
33,9.952210e-01
34,9.980088e-01
35,9.952210e-01
36,9.988053e-01
37,9.956193e-01
38,9.992035e-01
39,9.952210e-01
40,9.988053e-01
41,9.960175e-01
42,9.988053e-01
43,9.960175e-01
44,9.984070e-01
45,9.952210e-01
46,9.984070e-01
47,9.952210e-01
48,9.996018e-01
49,9.952210e-01
50,9.988053e-01
51,9.960175e-01
52,9.992035e-01
53,9.952210e-01
54,9.996018e-01
55,9.968140e-01
56,9.988053e-01
57,9.960175e-01
58,9.988053e-01
59,9.960175e-01
60,9.992035e-01
61,9.956193e-01
62,9.988053e-01
63,9.952210e-01
64,9.988053e-01
65,9.956193e-01
66,9.988053e-01
67,9.964158e-01
68,9.996018e-01
69,9.960175e-01
70,9.992035e-01
71,9.960175e-01
72,9.996018e-01
73,9.964158e-01
74,9.992035e-01
75,9.956193e-01
76,9.988053e-01
77,9.960175e-01
78,9.992035e-01
79,9.960175e-01
80,9.992035e-01
81,9.960175e-01
82,9.992035e-01
83,9.960175e-01
84,9.984070e-01
85,9.964158e-01
86,9.992035e-01
87,9.964158e-01
88,9.992035e-01
89,9.960175e-01
90,9.984070e-01
91,9.964158e-01
92,9.992035e-01
93,9.956193e-01
94,9.984070e-01
95,9.964158e-01
96,9.992035e-01
97,9.952210e-01
98,9.984070e-01
99,9.960175e-01
100,9.996018e-01
101,9.960175e-01
102,9.992035e-01
103,9.960175e-01
104,9.988053e-01
105,9.960175e-01
106,9.992035e-01
107,9.960175e-01
108,9.992035e-01
109,9.956193e-01
110,9.988053e-01
111,9.952210e-01
112,9.984070e-01
113,9.964158e-01
114,9.984070e-01
115,9.956193e-01
116,9.980088e-01
117,9.972123e-01
118,9.984070e-01
119,9.968140e-01
120,9.976105e-01
121,9.960175e-01
122,9.988053e-01
123,9.960175e-01
124,9.984070e-01
125,9.960175e-01
126,9.984070e-01
127,9.964158e-01
128,9.988053e-01
129,9.956193e-01
130,9.980088e-01
131,9.964158e-01
132,9.992035e-01
133,9.956193e-01
134,9.984070e-01
135,9.964158e-01
136,9.976105e-01
137,9.960175e-01
138,9.976105e-01
139,9.964158e-01
140,9.984070e-01
141,9.960175e-01
142,9.980088e-01
143,9.960175e-01
144,9.976105e-01
145,9.976105e-01
146,9.972123e-01
147,9.964158e-01
148,9.980088e-01
149,9.956193e-01
150,9.972123e-01
151,9.968140e-01
152,9.984070e-01
153,9.960175e-01
154,9.972123e-01
155,9.960175e-01
156,9.972123e-01
157,9.960175e-01
158,9.976105e-01
159,9.964158e-01
160,9.976105e-01
161,9.960175e-01
162,9.976105e-01
163,9.964158e-01
164,9.976105e-01
165,9.960175e-01
166,9.976105e-01
167,9.964158e-01
168,9.968140e-01
169,9.948228e-01
170,9.972123e-01
171,9.960175e-01
172,9.972123e-01
173,9.960175e-01
174,9.972123e-01
175,9.964158e-01
176,9.964158e-01
177,9.964158e-01
178,9.968140e-01
179,9.960175e-01
180,9.984070e-01
181,9.956193e-01
182,9.964158e-01
183,9.964158e-01
184,9.976105e-01
185,9.960175e-01
186,9.968140e-01
187,9.948228e-01
188,9.968140e-01
189,9.960175e-01
190,9.972123e-01
191,9.960175e-01
192,9.964158e-01
193,9.964158e-01
194,9.964158e-01
195,9.956193e-01
196,9.972123e-01
197,9.952210e-01
198,9.968140e-01
199,9.964158e-01
200,9.972123e-01
201,9.976105e-01
202,9.964158e-01
203,9.960175e-01
204,9.964158e-01
205,9.960175e-01
206,9.968140e-01
207,9.960175e-01
208,9.964158e-01
209,9.960175e-01
210,9.976105e-01
211,9.960175e-01
212,9.972123e-01
213,9.956193e-01
214,9.964158e-01
215,9.972123e-01
216,9.968140e-01
217,9.964158e-01
218,9.964158e-01
219,9.956193e-01
220,9.956193e-01
221,9.964158e-01
222,9.972123e-01
223,9.968140e-01
224,9.968140e-01
225,9.956193e-01
226,9.968140e-01
227,9.964158e-01
228,9.968140e-01
229,9.968140e-01
230,9.968140e-01
231,9.964158e-01
232,9.968140e-01
233,9.960175e-01
234,9.968140e-01
235,9.968140e-01
236,9.968140e-01
237,9.908403e-01
238,9.952210e-01
239,9.956193e-01
240,9.968140e-01
241,9.956193e-01
242,9.968140e-01
243,9.960175e-01
244,9.968140e-01
245,9.956193e-01
246,9.968140e-01
247,9.952210e-01
248,9.960175e-01
249,9.964158e-01
250,9.968140e-01
251,9.964158e-01
252,9.968140e-01
253,9.956193e-01
254,9.968140e-01
255,9.960175e-01
256,9.976105e-01
257,9.956193e-01
258,9.968140e-01
259,9.960175e-01
260,9.972123e-01
261,9.952210e-01
262,9.968140e-01
263,9.960175e-01
264,9.972123e-01
265,9.964158e-01
266,9.964158e-01
267,9.956193e-01
268,9.968140e-01
269,9.964158e-01
270,9.968140e-01
271,9.960175e-01
272,9.960175e-01
273,9.956193e-01
274,9.968140e-01
275,9.960175e-01
276,9.972123e-01
277,9.964158e-01
278,9.972123e-01
279,9.960175e-01
280,9.964158e-01
281,9.964158e-01
282,9.972123e-01
283,9.960175e-01
284,9.972123e-01
285,9.960175e-01
286,9.968140e-01
287,9.956193e-01
288,9.964158e-01
289,9.960175e-01
290,9.968140e-01
291,9.964158e-01
292,9.964158e-01
293,9.960175e-01
294,9.960175e-01
295,9.956193e-01
296,9.956193e-01
297,9.960175e-01
298,9.964158e-01
299,9.968140e-01
300,9.964158e-01
301,9.964158e-01
302,9.964158e-01
303,9.960175e-01
304,9.968140e-01
305,9.960175e-01
306,9.968140e-01
307,9.952210e-01
308,9.960175e-01
309,9.956193e-01
310,9.968140e-01
311,9.960175e-01
312,9.968140e-01
313,9.960175e-01
