Pixel,Intensity
0,1.930177e-01
1,2.315409e-01
2,2.343499e-01
3,2.307384e-01
4,2.315409e-01
5,2.303371e-01
6,2.327448e-01
7,2.299358e-01
8,2.319422e-01
9,2.307384e-01
10,2.347512e-01
11,2.295345e-01
12,2.327448e-01
13,2.275281e-01
14,2.311396e-01
15,2.291332e-01
16,2.323435e-01
17,2.303371e-01
18,2.335474e-01
19,2.299358e-01
20,2.343499e-01
21,2.291332e-01
22,2.327448e-01
23,2.303371e-01
24,2.331461e-01
25,2.303371e-01
26,2.351525e-01
27,2.315409e-01
28,2.335474e-01
29,2.331461e-01
30,2.307384e-01
31,2.323435e-01
32,2.331461e-01
33,2.299358e-01
34,2.351525e-01
35,2.307384e-01
36,2.335474e-01
37,2.299358e-01
38,2.351525e-01
39,2.303371e-01
40,2.311396e-01
41,2.291332e-01
42,2.323435e-01
43,2.307384e-01
44,2.323435e-01
45,2.291332e-01
46,2.323435e-01
47,2.331461e-01
48,2.343499e-01
49,2.319422e-01
50,2.343499e-01
51,2.327448e-01
52,2.331461e-01
53,2.307384e-01
54,2.335474e-01
55,2.331461e-01
56,2.327448e-01
57,2.299358e-01
58,2.323435e-01
59,2.307384e-01
60,2.335474e-01
61,2.291332e-01
62,2.319422e-01
63,2.327448e-01
64,2.331461e-01
65,2.303371e-01
66,2.347512e-01
67,2.319422e-01
68,2.331461e-01
69,2.307384e-01
70,2.343499e-01
71,2.311396e-01
72,2.319422e-01
73,2.291332e-01
74,2.339486e-01
75,2.323435e-01
76,2.315409e-01
77,2.323435e-01
78,2.323435e-01
79,2.287319e-01
80,2.347512e-01
81,2.323435e-01
82,2.347512e-01
83,2.335474e-01
84,2.339486e-01
85,2.315409e-01
86,2.351525e-01
87,2.327448e-01
88,2.347512e-01
89,2.295345e-01
90,2.339486e-01
91,2.295345e-01
92,2.339486e-01
93,2.295345e-01
94,2.315409e-01
95,2.307384e-01
96,2.335474e-01
97,2.291332e-01
98,2.347512e-01
99,2.327448e-01
100,2.347512e-01
101,2.335474e-01
102,2.339486e-01
103,2.299358e-01
104,2.335474e-01
105,2.327448e-01
106,2.343499e-01
107,2.311396e-01
108,2.351525e-01
109,2.303371e-01
110,2.351525e-01
111,2.323435e-01
112,2.355538e-01
113,2.291332e-01
114,2.347512e-01
115,2.327448e-01
116,2.363563e-01
117,2.303371e-01
118,2.347512e-01
119,2.315409e-01
120,2.351525e-01
121,2.315409e-01
122,2.339486e-01
123,2.339486e-01
124,2.371589e-01
125,2.315409e-01
126,2.339486e-01
127,2.323435e-01
128,2.343499e-01
129,2.347512e-01
130,2.347512e-01
131,2.323435e-01
132,2.363563e-01
133,2.303371e-01
134,2.351525e-01
135,2.331461e-01
136,2.347512e-01
137,2.335474e-01
138,2.339486e-01
139,2.331461e-01
140,2.367576e-01
141,2.319422e-01
142,2.335474e-01
143,2.339486e-01
144,2.355538e-01
145,2.371589e-01
146,2.347512e-01
147,2.323435e-01
148,2.339486e-01
149,2.327448e-01
150,2.335474e-01
151,2.319422e-01
152,2.355538e-01
153,2.299358e-01
