Pixel,Intensity
0,1.837313e-01
1,2.205585e-01
2,2.233913e-01
3,2.197491e-01
4,2.221773e-01
5,2.197491e-01
6,2.201538e-01
7,2.217726e-01
8,2.213679e-01
9,2.197491e-01
10,2.221773e-01
11,2.197491e-01
12,2.217726e-01
13,2.181303e-01
14,2.213679e-01
15,2.205585e-01
16,2.217726e-01
17,2.201538e-01
18,2.209632e-01
19,2.197491e-01
20,2.242007e-01
21,2.201538e-01
22,2.233913e-01
23,2.233913e-01
24,2.221773e-01
25,2.197491e-01
26,2.233913e-01
27,2.213679e-01
28,2.229866e-01
29,2.205585e-01
30,2.213679e-01
31,2.201538e-01
32,2.205585e-01
33,2.205585e-01
34,2.221773e-01
35,2.205585e-01
36,2.229866e-01
37,2.209632e-01
38,2.221773e-01
39,2.197491e-01
40,2.221773e-01
41,2.181303e-01
42,2.221773e-01
43,2.205585e-01
44,2.209632e-01
45,2.193444e-01
46,2.217726e-01
47,2.213679e-01
48,2.242007e-01
49,2.197491e-01
50,2.233913e-01
51,2.209632e-01
52,2.225820e-01
53,2.205585e-01
54,2.221773e-01
55,2.201538e-01
56,2.229866e-01
57,2.213679e-01
58,2.229866e-01
59,2.189397e-01
60,2.221773e-01
61,2.213679e-01
62,2.201538e-01
63,2.197491e-01
64,2.246054e-01
65,2.209632e-01
66,2.229866e-01
67,2.205585e-01
68,2.213679e-01
69,2.213679e-01
70,2.209632e-01
71,2.197491e-01
72,2.217726e-01
73,2.189397e-01
74,2.229866e-01
75,2.213679e-01
76,2.221773e-01
77,2.201538e-01
78,2.221773e-01
79,2.205585e-01
80,2.254148e-01
81,2.185350e-01
82,2.217726e-01
83,2.221773e-01
84,2.242007e-01
85,2.205585e-01
86,2.237960e-01
87,2.193444e-01
88,2.229866e-01
89,2.213679e-01
90,2.221773e-01
91,2.205585e-01
92,2.229866e-01
93,2.197491e-01
94,2.213679e-01
95,2.213679e-01
96,2.229866e-01
97,2.197491e-01
98,2.229866e-01
99,2.217726e-01
100,2.229866e-01
101,2.213679e-01
102,2.242007e-01
103,2.189397e-01
104,2.221773e-01
105,2.213679e-01
106,2.229866e-01
107,2.217726e-01
108,2.242007e-01
109,2.213679e-01
110,2.225820e-01
111,2.221773e-01
112,2.229866e-01
113,2.213679e-01
114,2.229866e-01
115,2.205585e-01
116,2.221773e-01
117,2.213679e-01
118,2.237960e-01
119,2.213679e-01
120,2.246054e-01
121,2.205585e-01
122,2.221773e-01
123,2.205585e-01
124,2.229866e-01
125,2.197491e-01
126,2.221773e-01
127,2.205585e-01
128,2.229866e-01
129,2.221773e-01
130,2.221773e-01
131,2.209632e-01
132,2.237960e-01
133,2.217726e-01
134,2.229866e-01
135,2.213679e-01
136,2.221773e-01
137,2.217726e-01
138,2.250101e-01
139,2.213679e-01
140,2.221773e-01
141,2.205585e-01
142,2.237960e-01
143,2.225820e-01
144,2.221773e-01
145,2.225820e-01
146,2.233913e-01
147,2.197491e-01
148,2.209632e-01
149,2.209632e-01
150,2.250101e-01
151,2.225820e-01
152,2.246054e-01
153,2.205585e-01
154,2.246054e-01
155,2.221773e-01
156,2.233913e-01
157,2.205585e-01
158,2.229866e-01
159,2.205585e-01
160,2.213679e-01
161,2.193444e-01
162,2.221773e-01
163,2.193444e-01
164,2.201538e-01
165,2.205585e-01
166,2.229866e-01
167,2.213679e-01
168,2.229866e-01
169,2.209632e-01
170,2.221773e-01
171,2.229866e-01
172,2.213679e-01
173,2.173209e-01
174,2.213679e-01
175,2.221773e-01
176,2.225820e-01
177,2.197491e-01
178,2.225820e-01
179,2.193444e-01
180,2.221773e-01
181,2.221773e-01
182,2.221773e-01
183,2.217726e-01
184,2.233913e-01
185,2.217726e-01
186,2.209632e-01
187,2.177256e-01
188,2.221773e-01
189,2.189397e-01
190,2.217726e-01
191,2.205585e-01
192,2.237960e-01
193,2.193444e-01
194,2.193444e-01
195,2.205585e-01
196,2.233913e-01
197,2.189397e-01
198,2.173209e-01
199,2.185350e-01
200,2.201538e-01
201,2.185350e-01
202,2.189397e-01
203,2.181303e-01
204,2.197491e-01
205,2.173209e-01
206,2.201538e-01
207,2.181303e-01
208,2.189397e-01
209,2.205585e-01
210,2.205585e-01
211,2.221773e-01
212,2.193444e-01
213,2.201538e-01
214,2.213679e-01
215,2.225820e-01
216,2.217726e-01
217,2.205585e-01
218,2.225820e-01
219,2.205585e-01
220,2.229866e-01
221,2.189397e-01
222,2.205585e-01
223,2.205585e-01
224,2.205585e-01
225,2.197491e-01
226,2.225820e-01
227,2.209632e-01
228,2.229866e-01
229,2.197491e-01
230,2.205585e-01
231,2.165115e-01
232,2.213679e-01
233,2.193444e-01
234,2.209632e-01
235,2.217726e-01
236,2.225820e-01
237,2.197491e-01
238,2.355322e-01
239,2.189397e-01
240,2.229866e-01
241,2.221773e-01
242,2.250101e-01
243,2.209632e-01
244,2.242007e-01
245,2.213679e-01
246,2.221773e-01
247,2.205585e-01
248,2.221773e-01
249,2.217726e-01
250,2.237960e-01
251,2.233913e-01
252,2.229866e-01
253,2.237960e-01
254,2.225820e-01
255,2.189397e-01
256,2.229866e-01
257,2.221773e-01
258,2.209632e-01
259,2.242007e-01
260,2.237960e-01
261,2.205585e-01
262,2.221773e-01
263,2.225820e-01
264,2.229866e-01
265,2.229866e-01
266,2.229866e-01
267,2.197491e-01
268,2.246054e-01
269,2.189397e-01
270,2.246054e-01
271,2.237960e-01
272,2.221773e-01
273,2.205585e-01
274,2.221773e-01
275,2.205585e-01
276,2.221773e-01
277,2.201538e-01
278,2.242007e-01
279,2.201538e-01
280,2.209632e-01
281,2.217726e-01
282,2.237960e-01
283,2.213679e-01
284,2.213679e-01
285,2.213679e-01
286,2.221773e-01
287,2.197491e-01
288,2.233913e-01
289,2.201538e-01
290,2.221773e-01
291,2.225820e-01
292,2.221773e-01
293,2.197491e-01
294,2.217726e-01
295,2.229866e-01
296,2.250101e-01
297,2.209632e-01
298,2.209632e-01
299,2.209632e-01
300,2.229866e-01
301,2.221773e-01
302,2.246054e-01
303,2.205585e-01
304,2.229866e-01
305,2.213679e-01
306,2.225820e-01
307,2.193444e-01
308,2.237960e-01
309,2.205585e-01
310,2.225820e-01
311,2.205585e-01
312,2.225820e-01
313,2.193444e-01
314,2.221773e-01
315,2.197491e-01
316,2.229866e-01
317,2.213679e-01
318,2.205585e-01
319,2.213679e-01
320,2.233913e-01
321,2.201538e-01
322,2.229866e-01
323,2.213679e-01
324,2.242007e-01
325,2.201538e-01
326,2.250101e-01
327,2.237960e-01
328,2.237960e-01
329,2.205585e-01
330,2.217726e-01
331,2.225820e-01
332,2.217726e-01
333,2.205585e-01
334,2.217726e-01
335,2.217726e-01
336,2.213679e-01
337,2.205585e-01
338,2.242007e-01
339,2.205585e-01
340,2.205585e-01
341,2.181303e-01
342,2.229866e-01
343,2.225820e-01
344,2.237960e-01
345,2.189397e-01
346,2.233913e-01
347,2.205585e-01
348,2.213679e-01
349,2.185350e-01
350,2.221773e-01
351,2.209632e-01
352,2.225820e-01
353,2.209632e-01
354,2.209632e-01
355,2.205585e-01
356,2.237960e-01
357,2.217726e-01
358,2.233913e-01
359,2.221773e-01
360,2.233913e-01
361,2.213679e-01
362,2.221773e-01
363,2.197491e-01
364,2.209632e-01
365,2.221773e-01
366,2.217726e-01
367,2.217726e-01
368,2.221773e-01
369,2.209632e-01
370,2.225820e-01
371,2.213679e-01
372,2.246054e-01
373,2.197491e-01
374,2.205585e-01
375,2.213679e-01
376,2.221773e-01
377,2.197491e-01
378,2.237960e-01
379,2.189397e-01
380,2.237960e-01
381,2.213679e-01
382,2.213679e-01
383,2.193444e-01
384,2.213679e-01
385,2.193444e-01
386,2.209632e-01
387,2.193444e-01
388,2.229866e-01
389,2.221773e-01
390,2.197491e-01
391,2.221773e-01
392,2.250101e-01
393,2.205585e-01
394,2.221773e-01
395,2.229866e-01
396,2.242007e-01
397,2.201538e-01
398,2.233913e-01
399,2.229866e-01
400,2.246054e-01
401,2.209632e-01
402,2.242007e-01
403,2.193444e-01
404,2.229866e-01
405,2.205585e-01
406,2.233913e-01
407,2.209632e-01
408,2.246054e-01
409,2.205585e-01
410,2.217726e-01
411,2.217726e-01
412,2.229866e-01
413,2.221773e-01
414,2.237960e-01
415,2.221773e-01
416,2.246054e-01
417,2.193444e-01
418,2.233913e-01
419,2.213679e-01
420,2.221773e-01
421,2.201538e-01
422,2.229866e-01
423,2.217726e-01
424,2.250101e-01
425,2.217726e-01
426,2.246054e-01
427,2.213679e-01
428,2.229866e-01
429,2.205585e-01
430,2.221773e-01
431,2.205585e-01
432,2.242007e-01
433,2.221773e-01
434,2.237960e-01
435,2.205585e-01
436,2.237960e-01
437,2.229866e-01
438,2.225820e-01
439,2.201538e-01
440,2.229866e-01
441,2.185350e-01
442,2.229866e-01
443,2.213679e-01
444,2.229866e-01
445,2.221773e-01
446,2.201538e-01
447,2.229866e-01
448,2.221773e-01
449,2.209632e-01
450,2.229866e-01
451,2.221773e-01
452,2.233913e-01
453,2.197491e-01
454,2.213679e-01
455,2.201538e-01
456,2.209632e-01
457,2.213679e-01
458,2.221773e-01
