Pixel,Intensity
0,9.064490e-01
1,9.824841e-01
2,9.876592e-01
3,9.872611e-01
4,9.912420e-01
5,9.892516e-01
6,9.924363e-01
7,9.900478e-01
8,9.944268e-01
9,9.920382e-01
10,9.948248e-01
11,9.924363e-01
12,9.952229e-01
13,9.924363e-01
14,9.964172e-01
15,9.936306e-01
16,9.968153e-01
17,9.932325e-01
18,9.968153e-01
19,9.940287e-01
20,9.972134e-01
21,9.944268e-01
22,9.976115e-01
23,9.948248e-01
24,9.980096e-01
25,9.940287e-01
26,9.980096e-01
27,9.948248e-01
28,9.984076e-01
29,9.940287e-01
30,9.992038e-01
31,9.956210e-01
32,9.976115e-01
33,9.956210e-01
34,9.984076e-01
35,9.964172e-01
36,9.988057e-01
37,9.960191e-01
38,9.988057e-01
39,9.964172e-01
40,9.988057e-01
41,9.956210e-01
42,9.988057e-01
43,9.964172e-01
44,9.988057e-01
45,9.960191e-01
46,9.984076e-01
47,9.960191e-01
48,9.996019e-01
49,9.956210e-01
50,9.988057e-01
51,9.964172e-01
52,9.992038e-01
53,9.964172e-01
54,9.996019e-01
55,9.964172e-01
56,1.000000e+00
57,9.960191e-01
58,9.992038e-01
59,9.960191e-01
60,9.996019e-01
61,9.956210e-01
62,9.988057e-01
63,9.964172e-01
64,9.996019e-01
65,9.960191e-01
66,9.988057e-01
67,9.968153e-01
68,9.996019e-01
69,9.968153e-01
70,9.996019e-01
71,9.964172e-01
72,9.988057e-01
73,9.960191e-01
74,9.996019e-01
75,9.972134e-01
76,9.996019e-01
77,9.964172e-01
78,9.988057e-01
79,9.964172e-01
80,9.996019e-01
81,9.984076e-01
82,9.996019e-01
83,9.968153e-01
84,9.988057e-01
85,9.964172e-01
86,9.988057e-01
87,9.964172e-01
88,9.992038e-01
89,9.964172e-01
90,9.992038e-01
91,9.972134e-01
92,9.992038e-01
93,9.964172e-01
94,9.984076e-01
95,9.968153e-01
96,9.992038e-01
97,9.964172e-01
98,9.984076e-01
99,9.964172e-01
100,9.996019e-01
101,9.972134e-01
102,1.000000e+00
103,9.968153e-01
104,9.984076e-01
105,9.964172e-01
106,9.988057e-01
107,9.964172e-01
108,9.996019e-01
109,9.984076e-01
110,9.984076e-01
111,9.956210e-01
112,9.976115e-01
113,9.976115e-01
114,9.984076e-01
115,9.964172e-01
116,9.984076e-01
117,9.964172e-01
118,9.984076e-01
119,9.964172e-01
120,9.988057e-01
121,9.968153e-01
122,9.988057e-01
123,9.964172e-01
124,9.980096e-01
125,9.960191e-01
126,9.984076e-01
127,9.964172e-01
128,9.988057e-01
129,9.968153e-01
130,9.984076e-01
131,9.964172e-01
132,9.972134e-01
133,9.968153e-01
134,9.988057e-01
135,9.968153e-01
136,9.980096e-01
137,9.960191e-01
138,9.980096e-01
139,9.968153e-01
140,9.988057e-01
141,9.968153e-01
142,9.980096e-01
143,9.964172e-01
144,9.980096e-01
145,9.964172e-01
146,9.976115e-01
147,9.968153e-01
148,9.988057e-01
149,9.964172e-01
150,9.980096e-01
151,9.964172e-01
